"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"11/01/2025","94.438,3","94.724,0","94.765,5","93.847,8","63,12K","-0,30%"
"10/01/2025","94.724,1","92.540,5","95.760,6","92.310,6","125,42K","2,36%"
"09/01/2025","92.539,8","95.066,6","95.323,1","91.241,9","132,78K","-2,66%"
"08/01/2025","95.066,6","96.938,2","97.266,4","92.716,6","100,36K","-1,92%"
"07/01/2025","96.929,8","102.247,9","102.678,2","96.201,3","99,77K","-5,20%"
"06/01/2025","102.248,7","98.373,2","102.474,5","97.932,3","86,73K","3,97%"
"05/01/2025","98.347,7","98.220,1","98.823,1","97.300,0","31,34K","0,13%"
"04/01/2025","98.219,9","98.168,9","98.742,6","97.568,9","36,56K","0,05%"
"03/01/2025","98.167,5","96.960,2","98.963,3","96.090,6","61,62K","1,25%"
"02/01/2025","96.960,0","94.561,1","97.808,0","94.381,2","76,13K","2,54%"
"01/01/2025","94.560,2","93.557,3","95.100,0","92.939,3","43,34K","1,07%"
"31/12/2024","93.557,2","92.777,2","96.163,4","92.036,2","74,85K","0,84%"
"30/12/2024","92.779,8","93.718,7","94.936,4","91.522,3","112,43K","-1,00%"
"29/12/2024","93.716,3","95.282,6","95.315,4","93.026,7","47,71K","-1,65%"
"28/12/2024","95.284,5","94.274,9","95.684,3","94.124,7","32,97K","1,07%"
"27/12/2024","94.275,9","95.776,4","97.243,3","93.472,8","85,12K","-1,57%"
"26/12/2024","95.777,7","99.389,4","99.922,5","95.193,3","74,60K","-3,64%"
"25/12/2024","99.391,3","98.661,9","99.514,1","97.651,9","39,80K","0,73%"
"24/12/2024","98.668,1","94.852,8","99.446,6","93.566,2","69,86K","4,02%"
"23/12/2024","94.852,1","95.184,8","96.517,8","92.543,2","133,24K","-0,35%"
"22/12/2024","95.183,8","97.281,6","97.422,2","94.265,2","100,64K","-2,13%"
"21/12/2024","97.253,3","97.799,1","99.531,9","96.478,6","123,36K","-0,55%"
"20/12/2024","97.795,7","97.468,3","98.178,2","92.301,9","221,18K","0,34%"
